id,source,text_preview,entities,predicted_score,predicted_tier,expected_tier
synthetic_00670,corpus,"PROGRESS NOTE

Patient: Leslie Martin
DOB: 02/27/1952
MRN: MRN-2731464
SSN: 155-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
5fabae9a,claude_adversarial,"Employment Verification: Driver License D901234​5, Passport Number 456​789012, E","{""drivers_license"": 1, ""passport"": 1}",14.4,Low,
eba18ec3,claude,"If you need assistance, contact our helpline at 888-123-4567.","{""phone"": 1}",3.6,Minimal,
a3e9e1a4,claude,"Startup Investment Proposal: Founder Elena Kim, contact details. Personal email:","{""email"": 1, ""physical_address"": 1, ""phone"": 1}",11.7,Low,
synthetic_00124,corpus,"PROGRESS NOTE

Patient: Samuel Suarez
DOB: 01/29/1937
MRN: MRN-4234033
SSN: 897-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
d6029791,claude,My new address is 456 Oak Avenue. Reach me at 555-234-6789 or j.smith@company.or,"{""physical_address"": 1, ""phone"": 1, ""email"": 1}",11.7,Low,
synthetic_00944,corpus,"CONSULTATION NOTE

Date: 12/02/2025
Consultant: Dr. Roger Costa
Referring Physic","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
synthetic_00756,corpus,"PROGRESS NOTE

Patient: Amber Parker
DOB: 09/26/1941
MRN: MRN-8520166
SSN: 466-4","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00820,corpus,"CONSULTATION NOTE

Date: 12/07/2025
Consultant: Dr. Michelle King
Referring Phys","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
59d4b00a,claude,You might like this news article: https://techcrunch.com/2024/01/ai-breakthrough,{},0.0,Minimal,
synthetic_00917,corpus,"PROGRESS NOTE

Patient: Dr. Kevin Harris
DOB: 08/24/1974
MRN: MRN-1985840
SSN: 0","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00163,corpus,"CONSULTATION NOTE

Date: 12/18/2025
Consultant: Dr. Michael Nicholson
Referring ","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
8d1bf245,claude,Customer account 12345678 was reviewed with Visa card 4532 0151 1283 0366 on fil,"{""bank_account"": 1, ""credit_card"": 1}",14.4,Low,
1e6359cb,claude_adversarial,Configuration log shows VIN 1G1ZT53886F109186 accessed through IP 10-0-0-1.,"{""ip_address"": 1}",2.7,Minimal,
synthetic_00198,corpus,"CONSULTATION NOTE

Date: 12/03/2025
Consultant: Dr. Christine Johnson MD
Referri","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
85c9ca87,claude,"Hey, can you transfer $500 from account 123456789012 to my Visa 4532-0151-1283-0","{""bank_account"": 2, ""credit_card"": 1}",18.8,Low,
6c535499,template,To: thomasboyle@green.info,"{""email"": 1}",3.6,Minimal,
synthetic_00819,corpus,"PROGRESS NOTE

Patient: James Merritt
DOB: 04/28/1945
MRN: MRN-1426222
SSN: 636-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
8b9ac75c,claude,Call our sales team today at 444-222-3333 for special promotions.,"{""phone"": 1}",3.6,Minimal,
synthetic_00406,corpus,"PROGRESS NOTE

Patient: Shane Moore
DOB: 12/30/1955
MRN: MRN-9966143
SSN: 590-31","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
90e06b32,claude,Insurance Enrollment - DOB: 11/30/1983,"{""date_of_birth"": 1}",5.4,Minimal,
synthetic_00299,corpus,"PROGRESS NOTE

Patient: Yolanda Keith
DOB: 02/02/1999
MRN: MRN-2096852
SSN: 122-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
21a82e81,claude_adversarial,"Registration for jёssica.lеe@company.net at 678 Oak Court, Apartment 12, Atlαnta","{""email"": 1, ""physical_address"": 1, ""phone"": 1}",11.7,Low,
synthetic_00712,corpus,"PROGRESS NOTE

Patient: Frederick Molina
DOB: 07/13/1944
MRN: MRN-4520198
SSN: 2","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
b81223a0,claude,"Background Check Report: Sarah Miller, Passport A87654321, California Driver Lic","{""passport"": 1, ""drivers_license"": 1}",14.4,Low,
4cd18344,ai4privacy,"When accessing the school library site, ensure your IP is 176.250.70.62. Contact","{""ip_address"": 1}",2.7,Minimal,
98d6f930,claude,"Hey, can you help me transfer some money? My IBAN is DE89370400440532013000 and ","{""bank_account"": 1, ""credit_card"": 1}",14.4,Low,
synthetic_00609,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Jasmin","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
16e213d8,claude,"Background Check Report: David Kim, Passport B34567890, California License CA123","{""passport"": 1, ""drivers_license"": 1}",14.4,Low,
synthetic_00867,corpus,"PROGRESS NOTE

Patient: Erica Mcmillan
DOB: 12/21/2001
MRN: MRN-1912919
SSN: 327","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
78cc6df0,negative_numbers_context,Price: $3106.98,{},0.0,Minimal,
a97a9d2e,claude,Please verify my account 56781234 transaction. Used card 4532 0151 1283 0366. My,"{""bank_account"": 2, ""credit_card"": 1}",18.8,Low,
8f8d9534,ai4privacy,I merged the data collected from 174.167.141.87 and 4563:b3da:cd0e:a0cf:ae48:f24,"{""ip_address"": 2}",4.6,Minimal,
synthetic_00062,corpus,"PROGRESS NOTE

Patient: Kristy Bryan
DOB: 01/14/1937
MRN: MRN-1762722
SSN: 657-9","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00988,corpus,"PROGRESS NOTE

Patient: Pam Roberts
DOB: 10/06/1962
MRN: MRN-2155070
SSN: 310-39","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00556,corpus,"CONSULTATION NOTE

Date: 12/02/2025
Consultant: Dr. Christopher Olson
Referring ","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
c56f21f4,negative_numbers_context,"See Appendix C, page 173.",{},0.0,Minimal,
e8bffec2,claude,"Hi team, if you need to reach Sarah, her contact is (555) 234-5678 during busine","{""phone"": 1}",3.6,Minimal,
b96e505c,claude_adversarial,Medical records request includes social 45 6789012 and birth date 09/05/1991.,"{""ssn"": 1, ""date_of_birth"": 1}",13.5,Low,
a6e44472,claude,Government ID: 678901234 Security Clearance,"{""drivers_license"": 1}",6.3,Minimal,
synthetic_00565,corpus,"PROGRESS NOTE

Patient: Kimberly Campos
DOB: 03/20/1938
MRN: MRN-6580192
SSN: 01","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
7d347045,claude,Background check documentation with passport A12345678 and license D9876543 for ,"{""passport"": 1, ""drivers_license"": 1}",14.4,Low,
synthetic_00651,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Melvin","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
d6e08d46,claude,"Volunteer Registration
Full Legal Name: Thomas James Bennett
DOB: 12/10/1995
Eme","{""full_name"": 1, ""date_of_birth"": 1}",9.9,Minimal,
synthetic_00377,corpus,"CONSULTATION NOTE

Date: 12/07/2025
Consultant: Dr. Kelly Hodges
Referring Physi","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
75a38907,claude,Technical support request from customer. Please reach out to Robert Thompson at ,"{""phone"": 1, ""email"": 1, ""physical_address"": 1}",11.7,Low,
decbb550,claude_adversarial,"Technical support inquiry: Installation problems at 456 River Lane, Redwood City","{""physical_address"": 1, ""phone"": 1, ""email"": 1}",11.7,Low,
synthetic_00245,corpus,"PROGRESS NOTE

Patient: Mrs. Ashley Kim DDS
DOB: 03/04/1941
MRN: MRN-3405308
SSN","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00207,corpus,"PROGRESS NOTE

Patient: Jeff Wilkins
DOB: 01/19/1963
MRN: MRN-4787304
SSN: 191-5","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
2df4dce7,claude,Detected unauthorized access through https://security.monitoring.io/alert and MA,{},0.0,Minimal,
synthetic_00051,corpus,"PROGRESS NOTE

Patient: Ralph Anderson
DOB: 06/20/1962
MRN: MRN-3722056
SSN: 186","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
df921c27,negative_instructional,Tax ID format: NN-NNN-NNNN,{},0.0,Minimal,
828f7852,claude_adversarial,"Patient Record: Caroline Elizabeth Parker, SSN 012345678, born February-28,-1988","{""full_name"": 1, ""ssn"": 1, ""date_of_birth"": 1}",18.0,Low,
synthetic_00201,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Deanna","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
4497966a,claude_adversarial,Monitoring connection at 2001:0db8:85a3:0000:0000:8a2e:0370:7334 for 1HGBH41JX M,"{""ip_address"": 1}",2.7,Minimal,
980a3502,claude,Refund inquiry for account 45612378 linked to IBAN DE89370400440532013000. Payme,"{""bank_account"": 2, ""credit_card"": 1}",18.8,Low,
synthetic_00672,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Craig ","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
9faf4682,claude,Please help me resolve a payment issue with IBAN GB29NWBK60161331926819 linked t,"{""bank_account"": 1}",6.3,Minimal,
synthetic_00277,corpus,"PROGRESS NOTE

Patient: Mikayla Edwards
DOB: 02/03/1960
MRN: MRN-5693941
SSN: 54","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00307,corpus,"PROGRESS NOTE

Patient: Rebecca Myers
DOB: 01/29/1995
MRN: MRN-3938131
SSN: 426-","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
synthetic_00099,corpus,"PROGRESS NOTE

Patient: Bryce Blair
DOB: 08/17/1960
MRN: MRN-8203947
SSN: 323-18","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
ce3253d9,claude,Help desk requires SSN verification. Please provide: 234-56-7890,"{""ssn"": 1}",8.1,Minimal,
c198231c,claude_adversarial,"Hiring records for Anderson, Christopher. DOB: 1979_08_23, Social: 234 56 7890.","{""full_name"": 1, ""date_of_birth"": 1, ""ssn"": 1}",18.0,Low,
9f9b5680,negative_numbers_context,Score: 45/100,{},0.0,Minimal,
synthetic_00468,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Shelle","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
84c72e05,claude_adversarial,"Employment Application: SSN 234  56 7890, Birth Date: March 17,  1989","{""ssn"": 1, ""date_of_birth"": 1}",13.5,Low,
synthetic_00799,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Jason ","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
synthetic_00340,corpus,"PROGRESS NOTE

Patient: Vanessa Zimmerman
DOB: 02/25/1953
MRN: MRN-8016965
SSN: ","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""phone"": 1}",55.8,Medium,
ec2d2ee2,claude,Technical support needs to validate your identity using SSN: 567 89 0123,"{""ssn"": 1}",8.1,Minimal,
synthetic_00438,corpus,"CONSULTATION NOTE

Date: 12/10/2025
Consultant: Dr. Rebecca Clark
Referring Phys","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
synthetic_00910,corpus,"CONSULTATION NOTE

Date: 12/04/2025
Consultant: Dr. Sharon Wolfe
Referring Physi","{""full_name"": 1, ""date_of_birth"": 1, ""age"": 1, ""ssn"": 1, ""phone"": 1, ""email"": 1, ""credit_card"": 1}",77.2,High,
4b415f24,claude,Employment Application for Michael Robert Stevens submitted on file. Date of bir,"{""full_name"": 1, ""date_of_birth"": 1}",9.9,Minimal,
7f464c46,claude,"Send the report to thomas.wilson55@hotmail.com at 222 Cedar Lane, Boston, MA 021","{""email"": 1, ""physical_address"": 1, ""phone"": 1}",11.7,Low,
synthetic_00091,corpus,"DISCHARGE SUMMARY
========================================

Patient Name: Linda ","{""full_name"": 1, ""date_of_birth"": 1, ""mrn"": 1, ""ssn"": 1, ""physical_address"": 1, ""email"": 1}",64.8,High,
